key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,line_ratio,multiplet,multiplet_term
FeII-1211,Fe II,1212.5510693138804,1.04,0.0,0.0,0.0,,,a4D-v4P*,5/2-5/2,E1,Sigut+03,,1211.986,Fe II,"Fe II$\,\lambda1211$",permitted,0.0,810,5,a4D
FeII-1213,Fe II,1213.6546168284158,3.198,0.0,0.0,0.0,,,a4G-u6D*,9/2-7/2,E1,Sigut+03,,1213.09,Fe II,"Fe II$\,\lambda1213$",permitted,0.0,928,7,a4G
FeII-1263,Fe II,1264.24989276186,3.198,0.0,0.0,0.0,,,a4G-w4H*,9/2-9/2,E1,Sigut+03,,1263.702,Fe II,"Fe II$\,\lambda1263$",permitted,0.0,834,7,a4G
FeII-1265,Fe II,1265.6185326686702,3.22,0.0,0.0,0.0,,,a4G-w4H*,7/2-7/2,E1,Sigut+03,,1265.071,Fe II,"Fe II$\,\lambda1265$",permitted,0.0,641,7,a4G
FeII-1265,Fe II,1266.1853847227762,3.198,0.0,0.0,0.0,,,a4G-w4H*,9/2-11/2,E1,Sigut+03,,1265.638,Fe II,"Fe II$\,\lambda1265$",permitted,0.0,638,7,a4G
FeII-1266,Fe II,1266.8012247776694,3.229,0.0,0.0,0.0,,,a4G-w4H*,5/2-7/2,E1,Sigut+03,,1266.254,Fe II,"Fe II$\,\lambda1266$",permitted,0.0,1180,7,a4G
FeII-1266,Fe II,1267.072154670326,3.22,0.0,0.0,0.0,,,a4G-w4H*,7/2-9/2,E1,Sigut+03,,1266.525,Fe II,"Fe II$\,\lambda1266$",permitted,0.0,1550,7,a4G
FeII-1274,Fe II,1275.014167654099,3.266,0.0,0.0,0.0,,,b2H-w4H*,9/2-11/2,E1,Sigut+03,,1274.469,Fe II,"Fe II$\,\lambda1274$",permitted,0.0,503,14,b2H
FeII-1286,Fe II,1286.9724082852067,1.67,0.0,0.0,0.0,,,a4P-v4F*,5/2-3/2,E1,Sigut+03,,1286.43,Fe II,"Fe II$\,\lambda1286$",permitted,0.0,792,9,a4P
FeII-1288,Fe II,1289.265908662866,1.67,0.0,0.0,0.0,,,a4P-v4F*,5/2-5/2,E1,Sigut+03,,1288.724,Fe II,"Fe II$\,\lambda1288$",permitted,0.0,528,9,a4P
FeII-1289,Fe II,1289.6358289262148,1.67,0.0,0.0,0.0,,,a4P-u4D*,5/2-3/2,E1,Sigut+03,,1289.094,Fe II,"Fe II$\,\lambda1289$",permitted,0.0,1130,9,a4P
FeII-1291,Fe II,1292.0853067750195,1.67,0.0,0.0,0.0,,,a4P-v4P*,5/2-5/2,E1,Sigut+03,,1291.544,Fe II,"Fe II$\,\lambda1291$",permitted,0.0,684,9,a4P
FeII-1291,Fe II,1292.124298544373,1.67,0.0,0.0,0.0,,,a4P-u4P*,5/2-3/2,E1,Sigut+03,,1291.583,Fe II,"Fe II$\,\lambda1291$",permitted,0.0,1070,9,a4P
FeII-1292,Fe II,1292.9461256523498,1.695,0.0,0.0,0.0,,,a4P-u4D*,3/2-3/2,E1,Sigut+03,,1292.405,Fe II,"Fe II$\,\lambda1292$",permitted,0.0,922,9,a4P
FeII-1293,Fe II,1294.1328779451287,1.723,0.0,0.0,0.0,,,a4P-v4F*,1/2-3/2,E1,Sigut+03,,1293.592,Fe II,"Fe II$\,\lambda1293$",permitted,0.0,1160,9,a4P
FeII-1293,Fe II,1294.2868459759197,1.723,0.0,0.0,0.0,,,a4P-u4D*,1/2-1/2,E1,Sigut+03,,1293.746,Fe II,"Fe II$\,\lambda1293$",permitted,0.0,526,9,a4P
FeII-1294,Fe II,1295.4466063979546,1.695,0.0,0.0,0.0,,,a4P-u4P*,3/2-3/2,E1,Sigut+03,,1294.906,Fe II,"Fe II$\,\lambda1294$",permitted,0.0,1120,9,a4P
FeII-1296,Fe II,1296.625365099428,1.67,0.0,0.0,0.0,,,a4P-y4S*,5/2-3/2,E1,Sigut+03,,1296.085,Fe II,"Fe II$\,\lambda1296$",permitted,0.0,690,9,a4P
FeII-1296,Fe II,1296.8263241816128,1.723,0.0,0.0,0.0,,,a4P-u4D*,1/2-3/2,E1,Sigut+03,,1296.286,Fe II,"Fe II$\,\lambda1296$",permitted,0.0,1250,9,a4P
FeII-1298,Fe II,1299.341817331169,1.723,0.0,0.0,0.0,,,a4P-u4P*,1/2-3/2,E1,Sigut+03,,1298.802,Fe II,"Fe II$\,\lambda1298$",permitted,0.0,590,9,a4P
FeII-1299,Fe II,1299.819722141326,1.695,0.0,0.0,0.0,,,a4P-u4D*,3/2-5/2,E1,Sigut+03,,1299.28,Fe II,"Fe II$\,\lambda1299$",permitted,0.0,1210,9,a4P
FeII-1299,Fe II,1299.9716919447385,1.695,0.0,0.0,0.0,,,a4P-y4S*,3/2-3/2,E1,Sigut+03,,1299.432,Fe II,"Fe II$\,\lambda1299$",permitted,0.0,511,9,a4P
FeII-1299,Fe II,1300.5335806013,1.67,0.0,0.0,0.0,,,a4P-u4D*,5/2-7/2,E1,Sigut+03,,1299.994,Fe II,"Fe II$\,\lambda1299$",permitted,0.0,727,9,a4P
FeII-1301,Fe II,1301.751340924263,3.89,0.0,0.0,0.0,,,b4D-u6D*,5/2-7/2,E1,Sigut+03,,1301.212,Fe II,"Fe II$\,\lambda1301$",permitted,0.0,536,16,b4D
FeII-1308,Fe II,1309.5058652636112,4.074,0.0,0.0,0.0,,,a2I-X2I*,13/2-11/2,E1,Sigut+03,,1308.968,Fe II,"Fe II$\,\lambda1308$",permitted,0.0,576,3,a2I
FeII-1309,Fe II,1310.0927570074261,4.079,0.0,0.0,0.0,,,a2I-X2I*,11/2-11/2,E1,Sigut+03,,1309.555,Fe II,"Fe II$\,\lambda1309$",permitted,0.0,738,3,a2I
FeII-1310,Fe II,1311.1265674436281,3.766,0.0,0.0,0.0,,,b2G-t2H*,9/2-11/2,E1,Sigut+03,,1310.589,Fe II,"Fe II$\,\lambda1310$",permitted,0.0,731,13,b2G
FeII-1311,Fe II,1311.5994812044826,4.074,0.0,0.0,0.0,,,a2I-X2I*,13/2-13/2,E1,Sigut+03,,1311.062,Fe II,"Fe II$\,\lambda1311$",permitted,0.0,730,3,a2I
FeII-1311,Fe II,1312.152380755289,3.813,0.0,0.0,0.0,,,b2G-t2H*,7/2-9/2,E1,Sigut+03,,1311.615,Fe II,"Fe II$\,\lambda1311$",permitted,0.0,548,13,b2G
FeII-1312,Fe II,1313.0272226379313,3.902,0.0,0.0,0.0,,,b4D-u4G*,7/2-9/2,E1,Sigut+03,,1312.49,Fe II,"Fe II$\,\lambda1312$",permitted,0.0,1330,16,b4D
FeII-1332,Fe II,1333.264820972051,3.887,0.0,0.0,0.0,,,b4D-v6F*,3/2-3/2,E1,Sigut+03,,1332.731,Fe II,"Fe II$\,\lambda1332$",permitted,0.0,642,16,b4D
FeII-1352,Fe II,1353.2658533685055,3.902,0.0,0.0,0.0,,,b4D-r4F*,7/2-9/2,E1,Sigut+03,,1352.735,Fe II,"Fe II$\,\lambda1352$",permitted,0.0,1200,16,b4D
FeII-1354,Fe II,1355.2785714573142,4.074,0.0,0.0,0.0,,,a2I-t2H*,13/2-11/2,E1,Sigut+03,,1354.748,Fe II,"Fe II$\,\lambda1354$",permitted,0.0,639,3,a2I
FeII-1364,Fe II,1364.9632479143063,3.338,0.0,0.0,0.0,,,b2P-s2D*,1/2-3/2,E1,Sigut+03,,1364.434,Fe II,"Fe II$\,\lambda1364$",permitted,0.0,596,15,b2P
FeII-1378,Fe II,1378.9644064065653,3.266,0.0,0.0,0.0,,,b2H-r2F*,9/2-7/2,E1,Sigut+03,,1378.437,Fe II,"Fe II$\,\lambda1378$",permitted,0.0,505,14,b2H
FeII-1379,Fe II,1380.240241371923,2.275,0.0,0.0,0.0,,,a2P-u4P*,3/2-1/2,E1,Sigut+03,,1379.713,Fe II,"Fe II$\,\lambda1379$",permitted,0.0,546,4,a2P
FeII-1384,Fe II,1385.1976025254726,2.703,0.0,0.0,0.0,,,b4P-w6D*,3/2-1/2,E1,Sigut+03,,1384.671,Fe II,"Fe II$\,\lambda1384$",permitted,0.0,518,19,b4P
FeII-1409,Fe II,1409.783411479332,3.423,0.0,0.0,0.0,,,a2F-r2F*,5/2-5/2,E1,Sigut+03,,1409.26,Fe II,"Fe II$\,\lambda1409$",permitted,0.0,2580,0,a2F
FeII-1423,Fe II,1424.2114200077879,2.582,0.0,0.0,0.0,,,b4P-v4F*,5/2-5/2,E1,Sigut+03,,1423.69,Fe II,"Fe II$\,\lambda1423$",permitted,0.0,784,19,b4P
FeII-1427,Fe II,1427.6539191848576,2.582,0.0,0.0,0.0,,,b4P-v4P*,5/2-5/2,E1,Sigut+03,,1427.133,Fe II,"Fe II$\,\lambda1427$",permitted,0.0,968,19,b4P
FeII-1437,Fe II,1437.9763339929061,2.582,0.0,0.0,0.0,,,b4P-u4D*,5/2-7/2,E1,Sigut+03,,1437.457,Fe II,"Fe II$\,\lambda1437$",permitted,0.0,1630,19,b4P
FeII-1440,Fe II,1441.5057573300337,2.703,0.0,0.0,0.0,,,b4P-v4F*,3/2-3/2,E1,Sigut+03,,1440.987,Fe II,"Fe II$\,\lambda1440$",permitted,0.0,513,19,b4P
FeII-1443,Fe II,1444.2562934489993,3.766,0.0,0.0,0.0,,,b2G-t2G*,9/2-9/2,E1,Sigut+03,,1443.738,Fe II,"Fe II$\,\lambda1443$",permitted,0.0,535,13,b2G
FeII-1452,Fe II,1453.4386377907783,2.703,0.0,0.0,0.0,,,b4P-u4D*,3/2-5/2,E1,Sigut+03,,1452.922,Fe II,"Fe II$\,\lambda1452$",permitted,0.0,1560,19,b4P
FeII-1453,Fe II,1454.2194884211715,2.777,0.0,0.0,0.0,,,b4P-u4D*,1/2-1/2,E1,Sigut+03,,1453.703,Fe II,"Fe II$\,\lambda1453$",permitted,0.0,516,19,b4P
FeII-1460,Fe II,1460.6052081692092,2.777,0.0,0.0,0.0,,,b4P-u4P*,1/2-3/2,E1,Sigut+03,,1460.09,Fe II,"Fe II$\,\lambda1460$",permitted,0.0,626,19,b4P
FeII-1464,Fe II,1465.2961932332298,2.843,0.0,0.0,0.0,,,b4F-v4F*,5/2-3/2,E1,Sigut+03,,1464.782,Fe II,"Fe II$\,\lambda1464$",permitted,0.0,1570,17,b4F
FeII-1464,Fe II,1465.496148419058,2.827,0.0,0.0,0.0,,,b4F-v4F*,7/2-5/2,E1,Sigut+03,,1464.982,Fe II,"Fe II$\,\lambda1464$",permitted,0.0,1900,17,b4F
FeII-1466,Fe II,1467.469698857419,2.854,0.0,0.0,0.0,,,b4F-u4D*,3/2-1/2,E1,Sigut+03,,1466.956,Fe II,"Fe II$\,\lambda1466$",permitted,0.0,548,17,b4F
FeII-1467,Fe II,1468.0055744592864,2.805,0.0,0.0,0.0,,,b4F-v4F*,9/2-7/2,E1,Sigut+03,,1467.492,Fe II,"Fe II$\,\lambda1467$",permitted,0.0,1640,17,b4F
FeII-1474,Fe II,1474.8178984919455,2.827,0.0,0.0,0.0,,,b4F-u4D*,7/2-5/2,E1,Sigut+03,,1474.306,Fe II,"Fe II$\,\lambda1474$",permitted,0.0,826,17,b4F
FeII-1474,Fe II,1475.1088227307819,3.813,0.0,0.0,0.0,,,b2G-r2F*,7/2-5/2,E1,Sigut+03,,1474.597,Fe II,"Fe II$\,\lambda1474$",permitted,0.0,7960,13,b2G
FeII-1475,Fe II,1476.293510398358,2.805,0.0,0.0,0.0,,,b4F-u4D*,9/2-7/2,E1,Sigut+03,,1475.782,Fe II,"Fe II$\,\lambda1475$",permitted,0.0,1330,17,b4F
FeII-1490,Fe II,1491.1129957764817,3.943,0.0,0.0,0.0,,,b2F-r2F*,5/2-7/2,E1,Sigut+03,,1490.606,Fe II,"Fe II$\,\lambda1490$",permitted,0.0,580,12,b2F
FeII-1494,Fe II,1495.282479121178,3.966,0.0,0.0,0.0,,,b2F-r2F*,7/2-7/2,E1,Sigut+03,,1494.777,Fe II,"Fe II$\,\lambda1494$",permitted,0.0,584,12,b2F
FeII-1497,Fe II,1498.232325440115,3.943,0.0,0.0,0.0,,,b2F-r2F*,5/2-5/2,E1,Sigut+03,,1497.728,Fe II,"Fe II$\,\lambda1497$",permitted,0.0,994,12,b2F
FeII-1508,Fe II,1508.7225708881197,3.229,0.0,0.0,0.0,,,a4G-u4F*,5/2-3/2,E1,Sigut+03,,1508.223,Fe II,"Fe II$\,\lambda1508$",permitted,0.0,573,7,a4G
FeII-1534,Fe II,1535.3180734183752,3.229,0.0,0.0,0.0,,,a4G-v4F*,5/2-3/2,E1,Sigut+03,,1534.838,Fe II,"Fe II$\,\lambda1534$",permitted,0.0,2590,7,a4G
FeII-1536,Fe II,1536.8374417095908,3.22,0.0,0.0,0.0,,,a4G-v4F*,7/2-5/2,E1,Sigut+03,,1536.359,Fe II,"Fe II$\,\lambda1536$",permitted,0.0,2960,7,a4G
FeII-1538,Fe II,1538.5814670320465,3.229,0.0,0.0,0.0,,,a4G-v4F*,5/2-5/2,E1,Sigut+03,,1538.105,Fe II,"Fe II$\,\lambda1538$",permitted,0.0,773,7,a4G
FeII-1538,Fe II,1539.1078483946899,3.229,0.0,0.0,0.0,,,a4G-u4D*,5/2-3/2,E1,Sigut+03,,1538.632,Fe II,"Fe II$\,\lambda1538$",permitted,0.0,1770,7,a4G
FeII-1539,Fe II,1539.5203559376432,3.198,0.0,0.0,0.0,,,a4G-v4F*,9/2-7/2,E1,Sigut+03,,1539.045,Fe II,"Fe II$\,\lambda1539$",permitted,0.0,4110,7,a4G
FeII-1539,Fe II,1539.935852967023,3.151,0.0,0.0,0.0,,,a4G-v4F*,11/2-9/2,E1,Sigut+03,,1539.461,Fe II,"Fe II$\,\lambda1539$",permitted,0.0,3120,7,a4G
FeII-1540,Fe II,1540.8427302748942,3.22,0.0,0.0,0.0,,,a4G-v4P*,7/2-5/2,E1,Sigut+03,,1540.369,Fe II,"Fe II$\,\lambda1540$",permitted,0.0,1280,7,a4G
FeII-1543,Fe II,1543.7039483850112,3.22,0.0,0.0,0.0,,,a4G-v4F*,7/2-7/2,E1,Sigut+03,,1543.234,Fe II,"Fe II$\,\lambda1543$",permitted,0.0,1170,7,a4G
FeII-1547,Fe II,1547.5282461851177,3.151,0.0,0.0,0.0,,,a4G-X6F*,11/2-9/2,E1,Sigut+03,,1547.064,Fe II,"Fe II$\,\lambda1547$",permitted,0.0,1420,7,a4G
FeII-1550,Fe II,1550.9573797859555,3.198,0.0,0.0,0.0,,,a4G-X6F*,9/2-7/2,E1,Sigut+03,,1550.499,Fe II,"Fe II$\,\lambda1550$",permitted,0.0,537,7,a4G
FeII-1574,Fe II,1574.8724527686154,3.888,0.0,0.0,0.0,,,b4D-t4P*,1/2-1/2,E1,Sigut+03,,1574.497,Fe II,"Fe II$\,\lambda1574$",permitted,0.0,530,16,b4D
FeII-1577,Fe II,1578.2662367083058,3.887,0.0,0.0,0.0,,,b4D-t4P*,3/2-3/2,E1,Sigut+03,,1577.916,Fe II,"Fe II$\,\lambda1577$",permitted,0.0,624,16,b4D
FeII-1578,Fe II,1578.838271443546,2.543,0.0,0.0,0.0,,,a2D-v2D*,5/2-5/2,E1,Sigut+03,,1578.493,Fe II,"Fe II$\,\lambda1578$",permitted,0.0,519,0,a2D
FeII-1613,Fe II,1614.982908215038,3.888,0.0,0.0,0.0,,,b4D-t4F*,1/2-3/2,E1,Sigut+03,,1613.942,Fe II,"Fe II$\,\lambda1613$",permitted,0.0,640,16,b4D
FeII-1633,Fe II,1634.3338279505797,3.89,0.0,0.0,0.0,,,b4D-u2G*,5/2-7/2,E1,Sigut+03,,1633.593,Fe II,"Fe II$\,\lambda1633$",permitted,0.0,529,16,b4D
FeII-1639,Fe II,1640.2140327353559,3.887,0.0,0.0,0.0,,,b4D-u4F*,3/2-3/2,E1,Sigut+03,,1639.5,Fe II,"Fe II$\,\lambda1639$",permitted,0.0,748,16,b4D
FeII-1639,Fe II,1640.3196329638906,3.888,0.0,0.0,0.0,,,b4D-u4F*,1/2-3/2,E1,Sigut+03,,1639.606,Fe II,"Fe II$\,\lambda1639$",permitted,0.0,1120,16,b4D
FeII-1640,Fe II,1640.9841713174287,3.887,0.0,0.0,0.0,,,b4D-u4F*,3/2-5/2,E1,Sigut+03,,1640.273,Fe II,"Fe II$\,\lambda1640$",permitted,0.0,778,16,b4D
FeII-1641,Fe II,1642.4809487000653,3.887,0.0,0.0,0.0,,,b4D-u4P*,3/2-5/2,E1,Sigut+03,,1641.775,Fe II,"Fe II$\,\lambda1641$",permitted,0.0,712,16,b4D
FeII-1642,Fe II,1642.8876017389148,3.89,0.0,0.0,0.0,,,b4D-u4F*,5/2-7/2,E1,Sigut+03,,1642.183,Fe II,"Fe II$\,\lambda1642$",permitted,0.0,564,16,b4D
FeII-1671,Fe II,1671.759987119595,3.888,0.0,0.0,0.0,,,b4D-v4F*,1/2-3/2,E1,Sigut+03,,1671.108,Fe II,"Fe II$\,\lambda1671$",permitted,0.0,831,16,b4D
FeII-1671,Fe II,1671.9068429421582,3.887,0.0,0.0,0.0,,,b4D-u4D*,3/2-1/2,E1,Sigut+03,,1671.255,Fe II,"Fe II$\,\lambda1671$",permitted,0.0,606,16,b4D
FeII-1671,Fe II,1672.3054552086764,3.89,0.0,0.0,0.0,,,b4D-v4F*,5/2-3/2,E1,Sigut+03,,1671.654,Fe II,"Fe II$\,\lambda1671$",permitted,0.0,1390,16,b4D
FeII-1674,Fe II,1675.5195115846823,3.887,0.0,0.0,0.0,,,b4D-v4F*,3/2-5/2,E1,Sigut+03,,1674.871,Fe II,"Fe II$\,\lambda1674$",permitted,0.0,878,16,b4D
FeII-1675,Fe II,1676.1439751963799,3.887,0.0,0.0,0.0,,,b4D-u4D*,3/2-3/2,E1,Sigut+03,,1675.496,Fe II,"Fe II$\,\lambda1675$",permitted,0.0,1390,16,b4D
FeII-1676,Fe II,1676.8024213773022,3.89,0.0,0.0,0.0,,,b4D-u4D*,5/2-3/2,E1,Sigut+03,,1676.155,Fe II,"Fe II$\,\lambda1676$",permitted,0.0,1840,16,b4D
FeII-1678,Fe II,1678.8537699681217,3.902,0.0,0.0,0.0,,,b4D-v4F*,7/2-5/2,E1,Sigut+03,,1678.208,Fe II,"Fe II$\,\lambda1678$",permitted,0.0,1320,16,b4D
FeII-1679,Fe II,1680.3466347544527,3.887,0.0,0.0,0.0,,,b4D-u4P*,3/2-3/2,E1,Sigut+03,,1679.702,Fe II,"Fe II$\,\lambda1679$",permitted,0.0,714,16,b4D
FeII-1680,Fe II,1680.9441952424602,3.89,0.0,0.0,0.0,,,b4D-v4P*,5/2-5/2,E1,Sigut+03,,1680.3,Fe II,"Fe II$\,\lambda1680$",permitted,0.0,730,16,b4D
FeII-1681,Fe II,1682.134344186314,3.888,0.0,0.0,0.0,,,b4D-u4P*,1/2-1/2,E1,Sigut+03,,1681.491,Fe II,"Fe II$\,\lambda1681$",permitted,0.0,878,16,b4D
FeII-1682,Fe II,1683.6363144746383,3.902,0.0,0.0,0.0,,,b4D-v4P*,7/2-5/2,E1,Sigut+03,,1682.994,Fe II,"Fe II$\,\lambda1682$",permitted,0.0,2730,16,b4D
FeII-1683,Fe II,1684.3508412497615,3.89,0.0,0.0,0.0,,,b4D-v4F*,5/2-7/2,E1,Sigut+03,,1683.709,Fe II,"Fe II$\,\lambda1683$",permitted,0.0,1020,16,b4D
FeII-1687,Fe II,1688.3773604503185,3.89,0.0,0.0,0.0,,,b4D-u4D*,5/2-5/2,E1,Sigut+03,,1687.738,Fe II,"Fe II$\,\lambda1687$",permitted,0.0,1260,16,b4D
FeII-1690,Fe II,1691.0928507008548,3.902,0.0,0.0,0.0,,,b4D-u4D*,7/2-5/2,E1,Sigut+03,,1690.455,Fe II,"Fe II$\,\lambda1690$",permitted,0.0,1230,16,b4D
FeII-1697,Fe II,1698.0045168251906,3.902,0.0,0.0,0.0,,,b4D-u4D*,7/2-7/2,E1,Sigut+03,,1697.37,Fe II,"Fe II$\,\lambda1697$",permitted,0.0,506,16,b4D
FeII-1697,Fe II,1698.3303758157688,3.902,0.0,0.0,0.0,,,b4D-v4F*,7/2-9/2,E1,Sigut+03,,1697.696,Fe II,"Fe II$\,\lambda1697$",permitted,0.0,657,16,b4D
FeII-1720,Fe II,1720.9012669060287,6.726,0.0,0.0,0.0,,,b4G-q4G*,9/2-9/2,E1,Sigut+03,,1720.274,Fe II,"Fe II$\,\lambda1720$",permitted,0.0,570,18,b4G
FeII-1721,Fe II,1722.3639507620305,3.196,0.0,0.0,0.0,,,b2P-v2D*,3/2-5/2,E1,Sigut+03,,1721.737,Fe II,"Fe II$\,\lambda1721$",permitted,0.0,503,15,b2P
FeII-1723,Fe II,1724.310551595231,6.727,0.0,0.0,0.0,,,b4G-n4F*,5/2-3/2,E1,Sigut+03,,1723.684,Fe II,"Fe II$\,\lambda1723$",permitted,0.0,1200,18,b4G
FeII-1725,Fe II,1726.0142216400282,6.726,0.0,0.0,0.0,,,b4G-n4F*,9/2-7/2,E1,Sigut+03,,1725.388,Fe II,"Fe II$\,\lambda1725$",permitted,0.0,1600,18,b4G
FeII-1735,Fe II,1736.3055744073997,6.721,0.0,0.0,0.0,,,b4G-n4F*,11/2-9/2,E1,Sigut+03,,1735.681,Fe II,"Fe II$\,\lambda1735$",permitted,0.0,1230,18,b4G
FeII-1739,Fe II,1740.1650925800836,6.22,0.0,0.0,0.0,,,c4F-u4G*,7/2-9/2,E1,Sigut+03,,1739.541,Fe II,"Fe II$\,\lambda1739$",permitted,0.0,504,21,c4F
FeII-1779,Fe II,1780.1211774083263,6.726,0.0,0.0,0.0,,,b4G-m4D*,9/2-7/2,E1,Sigut+03,,1779.499,Fe II,"Fe II$\,\lambda1779$",permitted,0.0,503,18,b4G
FeII-1784,Fe II,1785.5132379852353,6.727,0.0,0.0,0.0,,,b4G-n4F*,7/2-5/2,E1,Sigut+03,,1784.891,Fe II,"Fe II$\,\lambda1784$",permitted,0.0,1520,18,b4G
FeII-1785,Fe II,1785.8942444622926,2.89,0.0,0.0,0.0,,,a6S-X6P*,5/2-7/2,E1,Sigut+03,,1785.272,Fe II,"Fe II$\,\lambda1785$",permitted,0.0,2000,11,a6S
FeII-1785,Fe II,1786.107248205875,6.727,0.0,0.0,0.0,,,b4G-*4F*,7/2-5/2,E1,Sigut+03,,1785.485,Fe II,"Fe II$\,\lambda1785$",permitted,0.0,1250,18,b4G
FeII-1786,Fe II,1787.37527229366,2.89,0.0,0.0,0.0,,,a6S-X6P*,5/2-5/2,E1,Sigut+03,,1786.753,Fe II,"Fe II$\,\lambda1786$",permitted,0.0,1450,11,a6S
FeII-1787,Fe II,1788.437294812683,6.721,0.0,0.0,0.0,,,b4G-*4F*,11/2-9/2,E1,Sigut+03,,1787.815,Fe II,"Fe II$\,\lambda1787$",permitted,0.0,1140,18,b4G
FeII-1787,Fe II,1788.619298883729,2.89,0.0,0.0,0.0,,,a6S-X6P*,5/2-3/2,E1,Sigut+03,,1787.997,Fe II,"Fe II$\,\lambda1787$",permitted,0.0,1230,11,a6S
FeII-1789,Fe II,1790.4663436517112,6.726,0.0,0.0,0.0,,,b4G-*4F*,9/2-7/2,E1,Sigut+03,,1789.844,Fe II,"Fe II$\,\lambda1789$",permitted,0.0,1400,18,b4G
FeII-1793,Fe II,1794.617466530078,6.727,0.0,0.0,0.0,,,b4G-s4G*,5/2-5/2,E1,Sigut+03,,1793.995,Fe II,"Fe II$\,\lambda1793$",permitted,0.0,612,18,b4G
FeII-1795,Fe II,1796.2225220055125,6.721,0.0,0.0,0.0,,,b4G-w2I*,11/2-13/2,E1,Sigut+03,,1795.6,Fe II,"Fe II$\,\lambda1795$",permitted,0.0,643,18,b4G
FeII-1799,Fe II,1799.9386667423614,6.726,0.0,0.0,0.0,,,b4G-s4G*,9/2-9/2,E1,Sigut+03,,1799.316,Fe II,"Fe II$\,\lambda1799$",permitted,0.0,1060,18,b4G
FeII-1799,Fe II,1800.4076865842355,6.721,0.0,0.0,0.0,,,b4G-s4G*,11/2-11/2,E1,Sigut+03,,1799.785,Fe II,"Fe II$\,\lambda1799$",permitted,0.0,862,18,b4G
FeII-1805,Fe II,1806.1559571558673,6.726,0.0,0.0,0.0,,,b4G-q4G*,9/2-7/2,E1,Sigut+03,,1805.533,Fe II,"Fe II$\,\lambda1805$",permitted,0.0,561,18,b4G
FeII-1805,Fe II,1806.3419667332334,3.89,0.0,0.0,0.0,,,b4D-v4D*,5/2-5/2,E1,Sigut+03,,1805.719,Fe II,"Fe II$\,\lambda1805$",permitted,0.0,602,16,b4D
FeII-1805,Fe II,1806.4669731978058,6.727,0.0,0.0,0.0,,,b4G-q4G*,7/2-7/2,E1,Sigut+03,,1805.844,Fe II,"Fe II$\,\lambda1805$",permitted,0.0,4190,18,b4G
FeII-1809,Fe II,1809.7801526581418,6.727,0.0,0.0,0.0,,,b4G-n4D*,5/2-7/2,E1,Sigut+03,,1809.157,Fe II,"Fe II$\,\lambda1809$",permitted,0.0,805,18,b4G
FeII-1812,Fe II,1812.8893349075952,3.887,0.0,0.0,0.0,,,b4D-v4D*,3/2-3/2,E1,Sigut+03,,1812.266,Fe II,"Fe II$\,\lambda1812$",permitted,0.0,592,16,b4D
